image,class_name,object_energy,rationale_energy,rationale_lift,other_object_energy,top20_rationale_precision,top20_rationale_recall,top20_rationale_iou
multi_000,circle,0.951935,0.009398,0.356019,0.034664,0.026396,1.0,0.026396
multi_001,circle,0.677764,0.050274,2.473829,0.121105,0.058606,0.576766,0.05619
multi_002,circle,0.857475,0.036604,2.812949,0.073797,0.013013,1.0,0.013013
multi_003,circle,0.856883,0.029693,1.210159,0.080925,0.024536,1.0,0.024536
multi_004,circle,0.972305,0.013538,0.567933,0.021896,0.023838,1.0,0.023838
multi_005,circle,0.86771,0.011357,0.605839,0.113713,0.018745,1.0,0.018745
multi_006,circle,0.87664,0.076188,5.854928,0.03189,0.013013,1.0,0.013013
multi_007,circle,0.721659,0.039763,2.099906,0.192848,0.068786,0.726534,0.06705
multi_008,circle,0.776769,0.022948,1.306202,0.151348,0.017568,1.0,0.017568
multi_009,circle,0.797241,0.024265,1.800566,0.161519,0.013477,1.0,0.013477
multi_010,circle,0.913916,0.047366,3.453372,0.025551,0.013716,1.0,0.013716
multi_011,circle,0.821949,0.039224,2.859733,0.132481,0.013716,1.0,0.013716
multi_012,circle,0.8711,0.002437,0.118781,0.075409,0.020513,1.0,0.020513
multi_013,circle,0.749621,0.031954,1.644694,0.18794,0.059839,0.615984,0.057687
multi_014,circle,0.907363,4.1e-05,0.00154,0.092385,0.026636,1.0,0.026636
multi_015,circle,0.646774,0.054614,2.184114,0.079033,0.068896,0.551064,0.065235
multi_016,circle,0.826324,0.005414,0.206667,0.132194,0.026196,1.0,0.026196
multi_017,circle,0.852468,0.03188,1.763194,0.084104,0.018081,1.0,0.018081
multi_018,circle,0.814373,0.020528,1.084091,0.121751,0.018936,1.0,0.018936
multi_019,circle,0.677991,0.03807,1.959458,0.19527,0.061483,0.633074,0.059368
multi_020,circle,0.837712,0.08494,6.726889,0.043032,0.012627,1.0,0.012627
multi_021,circle,0.767234,0.090116,3.642695,0.04808,0.085395,0.690417,0.082246
multi_022,circle,0.721259,0.053072,3.000051,0.093262,0.01769,1.0,0.01769
multi_023,circle,0.807616,0.045542,3.320396,0.130495,0.013716,1.0,0.013716
multi_024,circle,0.925445,0.058773,4.461381,0.014745,0.013174,1.0,0.013174
multi_025,circle,0.732259,0.044184,3.07887,0.11766,0.063451,0.884314,0.062928
multi_026,circle,0.961187,0.022243,1.133182,0.019763,0.019629,1.0,0.019629
multi_027,circle,0.945054,0.074156,5.698779,0.0,0.013013,1.0,0.013013
multi_028,circle,0.783978,0.062922,3.556811,0.076977,0.01769,1.0,0.01769
multi_029,circle,0.761503,0.012092,0.600511,0.228695,0.020137,1.0,0.020137
multi_000,triangle,0.478787,0.001589,0.492003,0.288128,0.005383,0.333333,0.005326
multi_001,triangle,0.437842,0.00311,0.376051,0.30715,0.0047,0.11367,0.004534
multi_002,triangle,0.44437,0.002354,0.607583,0.157286,0.004053,0.2092,0.003992
multi_003,triangle,0.363533,0.004026,1.038975,0.270922,0.007446,0.384373,0.007359
multi_004,triangle,0.399332,0.005815,0.786855,0.385572,0.000659,0.017839,0.000636
multi_005,triangle,0.358854,0.004141,0.627539,0.221677,0.006421,0.194599,0.006255
multi_006,triangle,0.433881,0.00254,0.384941,0.288297,0.00282,0.085461,0.002737
multi_007,triangle,0.416551,0.000827,0.111866,0.41658,0.000635,0.017179,0.000613
multi_008,triangle,0.187018,0.003708,0.635195,0.073715,0.003357,0.115015,0.003272
multi_009,triangle,0.435658,0.003885,1.002724,0.252097,0.007996,0.412728,0.007906
multi_010,triangle,0.44605,0.004361,0.660795,0.200492,0.005688,0.172401,0.005537
multi_011,triangle,0.313322,0.006107,1.890752,0.19381,0.008142,0.504157,0.008077
multi_012,triangle,0.264638,0.002294,0.592135,0.221024,0.002454,0.126654,0.002413
multi_013,triangle,0.602018,0.000644,0.087134,0.223608,0.001892,0.051206,0.001828
multi_014,triangle,0.343979,0.015677,2.685616,0.294129,0.022802,0.781263,0.022658
multi_015,triangle,0.317202,0.013853,3.575457,0.250036,0.019373,1.0,0.019373
multi_016,triangle,0.36333,0.00316,0.703876,0.363538,0.007312,0.325721,0.007203
multi_017,triangle,0.341056,0.006326,1.958412,0.237295,0.012683,0.785336,0.012639
multi_018,triangle,0.347961,0.004811,1.071454,0.233813,0.005554,0.247417,0.005462
multi_019,triangle,0.315344,0.010998,2.449507,0.22216,0.014856,0.661773,0.014744
multi_020,triangle,0.698562,0.003912,0.592834,0.180995,0.022496,0.681835,0.022262
multi_021,triangle,0.338893,0.005844,1.301538,0.316093,0.007373,0.328439,0.007264
multi_022,triangle,0.354175,0.004172,1.076805,0.357287,0.007873,0.406427,0.007784
multi_023,triangle,0.361039,0.005869,1.307212,0.202548,0.010779,0.480152,0.010654
multi_024,triangle,0.235608,0.005025,1.296963,0.145365,0.006128,0.31632,0.006048
multi_025,triangle,0.387024,0.00394,1.017019,0.059092,0.00675,0.348456,0.006666
multi_026,triangle,0.367637,0.008402,1.871409,0.290121,0.014026,0.624796,0.013909
multi_027,triangle,0.40647,0.013701,1.656891,0.239601,0.025293,0.611751,0.024893
multi_028,triangle,0.363758,0.004383,1.357084,0.33591,0.009021,0.558579,0.008957
multi_029,triangle,0.445445,0.005254,0.796181,0.256865,0.007483,0.226785,0.007297
multi_000,square,0.825614,0.0,0.0,0.156968,0.004307,1.0,0.004307
multi_001,square,0.438337,0.003844,0.892601,0.322342,0.00752,0.349206,0.007416
multi_002,square,0.444899,0.010896,2.529983,0.062707,0.013477,0.62585,0.013369
multi_003,square,0.612793,0.003943,0.76324,0.274681,0.013037,0.504726,0.012872
multi_004,square,0.642421,0.003489,0.67534,0.213124,0.007507,0.290643,0.007372
multi_005,square,0.427817,0.004521,0.68686,0.307256,0.008643,0.262611,0.008438
multi_006,square,0.680004,0.000425,0.070912,0.291549,0.005986,1.0,0.005986
multi_007,square,0.57461,0.007247,1.046743,0.177908,0.01283,0.370592,0.012556
multi_008,square,0.418473,0.005159,1.197961,0.14876,0.007556,0.350907,0.007452
multi_009,square,0.762089,0.001645,0.265993,0.132322,0.006067,0.19621,0.00592
multi_010,square,0.451017,2.1e-05,0.004985,0.475815,0.004307,1.0,0.004307
multi_011,square,0.916357,0.0,0.0,0.07429,0.007783,1.0,0.007783
multi_012,square,0.728748,0.001405,0.142555,0.21036,0.007947,0.161298,0.007631
multi_013,square,0.540582,0.001684,0.335715,0.424433,0.005017,1.0,0.005017
multi_014,square,0.387666,0.00888,2.062037,0.217027,0.011694,0.543084,0.01158
multi_015,square,0.715739,4e-05,0.007832,0.258599,0.005166,1.0,0.005166
multi_016,square,0.564117,0.001545,0.349042,0.325543,0.007971,0.360177,0.00786
multi_017,square,0.569562,0.00018,0.023142,0.299294,0.007783,1.0,0.007783
multi_018,square,0.945464,5.5e-05,0.007239,0.050849,0.00762,1.0,0.00762
multi_019,square,0.656029,1.8e-05,0.002925,0.304316,0.005986,1.0,0.005986
multi_020,square,0.57384,0.005231,1.214723,0.174544,0.012842,0.596372,0.012731
multi_021,square,0.615614,0.003638,0.607729,0.262553,0.008337,0.278548,0.00816
multi_022,square,0.697469,0.000431,0.105194,0.279205,0.004094,1.0,0.004094
multi_023,square,0.412785,0.011163,1.864829,0.146204,0.014783,0.493883,0.014562
multi_024,square,0.741789,0.012336,1.356425,0.093347,0.010559,0.232215,0.010203
multi_025,square,0.561955,0.003056,0.709649,0.317683,0.012195,0.566327,0.012082
multi_026,square,0.489405,0.000554,0.128608,0.32333,0.003882,0.180272,0.003815
multi_027,square,0.456315,0.00125,0.241961,0.453025,0.004712,0.18242,0.004614
multi_028,square,0.580014,0.00066,0.12784,0.365074,0.008826,0.341682,0.008678
multi_029,square,0.869137,9.5e-05,0.025518,0.08567,0.003738,1.0,0.003738
