image,class_name,original_confidence,top_cam_confidence,random_confidence,top_cam_drop,random_drop
multi_000,circle,0.992215,0.798986,0.986875,0.193228,0.00534
multi_001,circle,0.994943,0.891399,0.996824,0.103544,-0.00188
multi_002,circle,0.985291,0.945464,0.984351,0.039828,0.000941
multi_003,circle,0.995097,0.565417,0.985605,0.429681,0.009493
multi_004,circle,0.989967,0.509172,0.985821,0.480794,0.004145
multi_005,circle,0.998268,0.743824,0.994479,0.254443,0.003788
multi_006,circle,0.988311,0.962818,0.990704,0.025493,-0.002393
multi_007,circle,0.995902,0.843033,0.972486,0.15287,0.023417
multi_008,circle,0.991737,0.835391,0.99304,0.156347,-0.001303
multi_009,circle,0.992111,0.940246,0.900771,0.051865,0.09134
multi_010,circle,0.995003,0.886222,0.99633,0.108781,-0.001326
multi_011,circle,0.996233,0.935194,0.998209,0.061039,-0.001976
multi_012,circle,0.993862,0.756061,0.989358,0.2378,0.004504
multi_013,circle,0.990141,0.92553,0.993984,0.06461,-0.003843
multi_014,circle,0.992779,0.442363,0.871752,0.550416,0.121028
multi_015,circle,0.990424,0.103096,0.991197,0.887328,-0.000773
multi_016,circle,0.994933,0.437942,0.996994,0.556991,-0.002062
multi_017,circle,0.996462,0.474609,0.995512,0.521853,0.00095
multi_018,circle,0.997532,0.767976,0.991687,0.229556,0.005845
multi_019,circle,0.99096,0.797516,0.993899,0.193444,-0.002939
multi_020,circle,0.990819,0.835187,0.987279,0.155632,0.00354
multi_021,circle,0.99234,0.041788,0.989855,0.950553,0.002485
multi_022,circle,0.994307,0.694916,0.994491,0.299391,-0.000183
multi_023,circle,0.995808,0.950779,0.997495,0.045028,-0.001688
multi_024,circle,0.991543,0.899464,0.991814,0.092079,-0.000271
multi_025,circle,0.987423,0.935773,0.989011,0.05165,-0.001589
multi_026,circle,0.991297,0.296033,0.992809,0.695264,-0.001512
multi_027,circle,0.990835,0.967154,0.995279,0.023681,-0.004444
multi_028,circle,0.988934,0.793769,0.983721,0.195165,0.005213
multi_029,circle,0.990275,0.779144,0.967308,0.211131,0.022966
multi_000,triangle,0.979659,0.965596,0.980558,0.014062,-0.000899
multi_001,triangle,0.986366,0.92518,0.984048,0.061187,0.002319
multi_002,triangle,0.984957,0.979491,0.987488,0.005466,-0.002531
multi_003,triangle,0.986613,0.972802,0.986709,0.013811,-9.6e-05
multi_004,triangle,0.988218,0.916805,0.986543,0.071413,0.001674
multi_005,triangle,0.990834,0.970841,0.99107,0.019993,-0.000237
multi_006,triangle,0.988126,0.95452,0.987221,0.033607,0.000906
multi_007,triangle,0.96926,0.935688,0.976557,0.033572,-0.007297
multi_008,triangle,0.979712,0.917662,0.985061,0.06205,-0.005349
multi_009,triangle,0.974494,0.975131,0.983345,-0.000638,-0.008851
multi_010,triangle,0.990053,0.851987,0.986722,0.138067,0.003331
multi_011,triangle,0.978593,0.973256,0.983098,0.005338,-0.004505
multi_012,triangle,0.98369,0.947202,0.98014,0.036488,0.00355
multi_013,triangle,0.992462,0.917579,0.98979,0.074883,0.002672
multi_014,triangle,0.986549,0.08168,0.986125,0.90487,0.000424
multi_015,triangle,0.985524,0.947367,0.985968,0.038157,-0.000444
multi_016,triangle,0.989885,0.961524,0.992246,0.028361,-0.002362
multi_017,triangle,0.974078,0.956826,0.978623,0.017252,-0.004545
multi_018,triangle,0.972959,0.962866,0.972851,0.010093,0.000107
multi_019,triangle,0.992554,0.97042,0.994841,0.022134,-0.002287
multi_020,triangle,0.984398,0.951025,0.987728,0.033373,-0.00333
multi_021,triangle,0.977908,0.943085,0.977623,0.034823,0.000285
multi_022,triangle,0.981845,0.961663,0.982017,0.020182,-0.000172
multi_023,triangle,0.988873,0.95465,0.991274,0.034223,-0.002401
multi_024,triangle,0.986844,0.90925,0.98633,0.077593,0.000513
multi_025,triangle,0.989089,0.982559,0.989187,0.006531,-9.8e-05
multi_026,triangle,0.986973,0.967588,0.992546,0.019385,-0.005573
multi_027,triangle,0.993811,0.970917,0.993056,0.022894,0.000755
multi_028,triangle,0.986536,0.971244,0.983015,0.015291,0.003521
multi_029,triangle,0.985064,0.937436,0.98735,0.047628,-0.002286
multi_000,square,0.988867,0.891342,0.988063,0.097525,0.000804
multi_001,square,0.990663,0.951201,0.981238,0.039462,0.009425
multi_002,square,0.987334,0.957231,0.98792,0.030104,-0.000585
multi_003,square,0.990845,0.934799,0.994107,0.056046,-0.003262
multi_004,square,0.991641,0.956615,0.989274,0.035026,0.002367
multi_005,square,0.993717,0.375118,0.991167,0.618599,0.00255
multi_006,square,0.989766,0.434559,0.989307,0.555206,0.000458
multi_007,square,0.992252,0.669986,0.992589,0.322266,-0.000337
multi_008,square,0.985232,0.616519,0.986361,0.368714,-0.001128
multi_009,square,0.989616,0.456897,0.984507,0.532719,0.005108
multi_010,square,0.992689,0.979277,0.993698,0.013412,-0.001008
multi_011,square,0.991678,0.887966,0.982985,0.103712,0.008693
multi_012,square,0.988362,0.706066,0.990172,0.282297,-0.00181
multi_013,square,0.991751,0.956546,0.991105,0.035205,0.000645
multi_014,square,0.989956,0.919594,0.987128,0.070362,0.002828
multi_015,square,0.993375,0.954327,0.992326,0.039048,0.001049
multi_016,square,0.9916,0.921706,0.990983,0.069894,0.000618
multi_017,square,0.986189,0.259725,0.978585,0.726464,0.007604
multi_018,square,0.985456,0.065385,0.986464,0.920071,-0.001008
multi_019,square,0.989502,0.843268,0.989025,0.146234,0.000477
multi_020,square,0.98748,0.058058,0.987801,0.929421,-0.000322
multi_021,square,0.988699,0.887847,0.988078,0.100852,0.000621
multi_022,square,0.984723,0.883252,0.985608,0.101471,-0.000885
multi_023,square,0.988823,0.968878,0.987952,0.019946,0.000871
multi_024,square,0.986564,0.538194,0.986935,0.448371,-0.000371
multi_025,square,0.994891,0.965997,0.994367,0.028894,0.000524
multi_026,square,0.993277,0.946081,0.991229,0.047196,0.002048
multi_027,square,0.988181,0.939155,0.987418,0.049026,0.000763
multi_028,square,0.98658,0.93748,0.98033,0.0491,0.00625
multi_029,square,0.989084,0.593704,0.98938,0.39538,-0.000297
