epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2029,0.57043,3.0885,1.02883,0.00514,1,0.65533,0.61508,0.25768,3.33369,0.80705,0.00025722,0.00025722,0.00025722
2,182.294,0.58617,2.10153,1.03854,0.02168,1,0.8067,0.75338,0.31373,3.10919,0.82209,0.000511282,0.000511282,0.000511282
3,291.235,0.55554,1.58829,0.9831,0.83434,0.6404,0.8127,0.65936,0.61563,2.84597,0.95025,0.000747424,0.000747424,0.000747424
4,394.323,0.54751,1.29504,0.97943,0.84919,0.8224,0.87267,0.78224,0.44373,2.348,0.86331,0.000965647,0.000965647,0.000965647
5,491.998,0.52718,1.20696,0.93931,0.75658,0.52975,0.70565,0.62546,0.60029,2.79096,0.96856,0.00116595,0.00116595,0.00116595
6,591.541,0.57678,1.17677,0.994,0.621,0.63251,0.65733,0.59886,0.54491,2.21031,0.91524,0.00119322,0.00119322,0.00119322
7,685.347,0.53071,1.0915,0.95175,0.88328,0.96476,0.99364,0.88693,0.43108,1.29358,0.86509,0.00114606,0.00114606,0.00114606
8,785.755,0.47922,0.977,0.93185,0.96245,0.96285,0.99323,0.93249,0.34656,1.20744,0.82812,0.0010989,0.0010989,0.0010989
9,886.839,0.48327,0.92715,0.9502,0.92147,0.98731,0.995,0.94137,0.30644,1.05411,0.81952,0.00105174,0.00105174,0.00105174
10,987.013,0.49949,0.87094,0.95848,0.93562,0.95913,0.99009,0.96364,0.29911,1.13226,0.81798,0.00100459,0.00100459,0.00100459
11,1101.16,0.46843,0.79165,0.93273,0.98649,0.9927,0.995,0.98052,0.25968,0.83243,0.81038,0.00095743,0.00095743,0.00095743
12,1211.89,0.42679,0.74718,0.91634,0.99312,1,0.995,0.97716,0.25821,0.73419,0.80647,0.000910273,0.000910273,0.000910273
13,1327.07,0.42143,0.71362,0.91596,0.98894,1,0.995,0.99313,0.21343,0.71464,0.79776,0.000863116,0.000863116,0.000863116
14,1444.29,0.40828,0.69605,0.89935,0.99615,1,0.995,0.97933,0.24751,0.66959,0.80307,0.000815959,0.000815959,0.000815959
15,1547.61,0.40977,0.68874,0.90893,0.99717,1,0.995,0.98178,0.2311,0.67174,0.80073,0.000768802,0.000768802,0.000768802
16,1646.58,0.39215,0.63987,0.90385,0.99628,1,0.995,0.98348,0.20293,0.57473,0.79952,0.000721645,0.000721645,0.000721645
17,1744.24,0.35601,0.61195,0.89844,0.99499,1,0.995,0.995,0.17304,0.53863,0.79511,0.000674488,0.000674488,0.000674488
18,1844.25,0.3775,0.58267,0.90664,0.99453,1,0.995,0.99141,0.20797,0.50706,0.79731,0.000627331,0.000627331,0.000627331
19,1939.3,0.35709,0.56824,0.89326,0.99738,1,0.995,0.995,0.19269,0.47537,0.79567,0.000580174,0.000580174,0.000580174
20,2032.33,0.37456,0.5544,0.91521,0.99735,1,0.995,0.995,0.17785,0.47155,0.79374,0.000533017,0.000533017,0.000533017
21,2119.92,0.197,0.47817,0.79106,0.9938,1,0.995,0.995,0.16165,0.50128,0.79278,0.00048586,0.00048586,0.00048586
22,2206.07,0.18654,0.45655,0.78703,0.9966,1,0.995,0.99252,0.16533,0.43556,0.79119,0.000438703,0.000438703,0.000438703
23,2292.27,0.18666,0.43877,0.7741,0.99709,1,0.995,0.995,0.15197,0.43161,0.78959,0.000391546,0.000391546,0.000391546
24,2378.07,0.1762,0.41492,0.78465,0.97952,0.99956,0.995,0.995,0.13529,0.38742,0.7876,0.000344389,0.000344389,0.000344389
25,2463.2,0.17271,0.41741,0.78337,0.99713,1,0.995,0.995,0.13174,0.37518,0.78718,0.000297232,0.000297232,0.000297232
26,2549.35,0.16046,0.39319,0.79061,0.99751,1,0.995,0.995,0.13436,0.36827,0.78657,0.000250075,0.000250075,0.000250075
27,2635.51,0.14979,0.37251,0.79229,0.99745,1,0.995,0.995,0.10224,0.33586,0.78498,0.000202918,0.000202918,0.000202918
28,2721.13,0.13843,0.35736,0.78123,0.99755,1,0.995,0.995,0.12034,0.34153,0.7869,0.000155761,0.000155761,0.000155761
29,2805.8,0.129,0.34296,0.7952,0.99741,1,0.995,0.995,0.09945,0.32523,0.78548,0.000108604,0.000108604,0.000108604
30,2892.23,0.12984,0.34593,0.78382,0.99734,1,0.995,0.995,0.09314,0.32035,0.78487,6.1447e-05,6.1447e-05,6.1447e-05
